,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
12,Lukáš Ambros,cz CZE,MF,Wolfsburg,18-337,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cd682b6b
13,Nadiem Amiri,de GER,MFFW,Leverkusen,26-193,1996,9.7,4,20,8,40.0,2.05,0.82,0.15,0.38,24.9,2,1,1,1.7,0.9,0.05,+2.3,+2.1,Matches,555d5edd
14,Robert Andrich,de GER,MF,Leverkusen,28-228,1994,26.7,2,30,9,30.0,1.12,0.34,0.07,0.22,21.6,1,0,0,1.6,1.6,0.05,+0.4,+0.4,Matches,e0b113a7
15,Angeliño,es ESP,DF,Hoffenheim,26-124,1997,26.3,0,21,4,19.0,0.80,0.15,0.00,0.00,20.5,4,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches,30941e96
16,Waldemar Anton,de GER,DF,Stuttgart,26-292,1996,29.6,1,24,5,20.8,0.81,0.17,0.04,0.20,18.3,0,0,0,1.6,1.6,0.07,-0.6,-0.6,Matches,5e66fa06
17,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,29-090,1994,19.2,2,25,7,28.0,1.30,0.37,0.08,0.29,19.3,0,0,0,2.1,2.1,0.08,-0.1,-0.1,Matches,0a3f6cde
18,Charles Aránguiz,cl CHI,MF,Leverkusen,34-021,1989,5.5,1,5,2,40.0,0.91,0.37,0.20,0.50,18.5,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches,56413b1f
19,Maximilian Arnold,de GER,MF,Wolfsburg,28-346,1994,27.8,5,27,11,40.7,0.97,0.40,0.07,0.18,32.5,6,3,5,4.9,0.9,0.03,+0.1,+1.1,Matches,86e119e0
20,Takuma Asano,jp JPN,FWMF,Bochum,28-179,1994,16.4,2,47,14,29.8,2.86,0.85,0.04,0.14,16.7,0,0,0,4.6,4.6,0.10,-2.6,-2.6,Matches,13ddc856
21,Fisnik Asllani,xk KVX,FW,Hoffenheim,20-273,2002,1.9,0,9,0,0.0,4.85,0.00,0.00,,11.1,0,0,0,1.7,1.7,0.19,-1.7,-1.7,Matches,35f67a30
22,Mehmet Aydin,de GER,DFFW,Schalke 04,21-088,2002,6.3,0,5,0,0.0,0.79,0.00,0.00,,23.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,fe46e261
